150 not saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.0878, 'val_kl_Loss_FC': 0.0}
151 saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.01598, 'val_kl_Loss_FC': 1e-05}
152 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.97332, 'val_kl_Loss_FC': 0.0}
153 not saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.95305, 'val_kl_Loss_FC': 0.0}
154 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.91741, 'val_kl_Loss_FC': 0.0}
155 not saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.90813, 'val_kl_Loss_FC': 0.0}
156 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.87492, 'val_kl_Loss_FC': 1e-05}
157 saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.84719, 'val_kl_Loss_FC': 1e-05}
158 not saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.84567, 'val_kl_Loss_FC': 1e-05}
159 saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.8335, 'val_kl_Loss_FC': 0.0}
160 not saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.80906, 'val_kl_Loss_FC': 1e-05}
161 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.48326, 'val_kl_Loss_FC': 0.0}
162 not saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.17911, 'val_kl_Loss_FC': 0.0}
163 saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.07653, 'val_kl_Loss_FC': 0.0}
164 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.01679, 'val_kl_Loss_FC': 1e-05}
165 saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.97275, 'val_kl_Loss_FC': 0.0}
166 not saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.95569, 'val_kl_Loss_FC': 1e-05}
167 saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.94223, 'val_kl_Loss_FC': 1e-05}
168 not saved {'val_OrigRecLoss': 0.0004, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.90356, 'val_kl_Loss_FC': 0.0}
